Horizon,MAE,RMSE,Log-RMSE,Peak_Recall_95,Peak_Recall_99,Count
45m,38.089338614950755,95.75949370300123,0.1557792423852802,0.872822299651568,0.7871287128712872,80375
6h,171.57828809710057,350.02724242558116,0.49896588188824104,0.3618196160925585,0.1903485254691689,77981
12h,238.24287751079808,461.4562213422987,0.6797450628953187,0.07212925562608194,0.011666666666666667,75245
