Horizon,Feature,Importance
12h,Speed_km_s_lag_6h,108
12h,Speed_km_s,106
12h,Flow_pressure_nPa_lag_24h,99
12h,SYM_H_nT_lag_24h,95
12h,Flow_pressure_nPa_lag_6h,95
12h,Speed_km_s_lag_3h,94
12h,Field_magnitude_average_nT,87
12h,Flow_pressure_nPa_lag_12h,80
12h,SYM_H_nT_lag_3h,71
12h,Flow_pressure_nPa_lag_3h,69
12h,SYM_H_nT_lag_48h,67
12h,BY_nT_GSE,59
12h,BZ_nT_GSM_lag_48h,58
12h,BX_nT_GSE_GSM,58
12h,Proton_Density_n_cc,58
12h,Proton_Flux_lag_12h,55
12h,BZ_nT_GSE,48
12h,BY_nT_GSM,43
12h,AE_index_nT,41
12h,SYM_H_nT_lag_45m,37
12h,BZ_nT_GSM_lag_12h,36
12h,Speed_km_s_lag_45m,35
12h,BZ_nT_GSM_lag_24h,31
12h,BZ_nT_GSM,29
12h,BZ_nT_GSM_lag_6h,26
12h,Flow_pressure_nPa_lag_45m,24
12h,Proton_Flux_lag_24h,24
12h,BZ_nT_GSM_lag_45m,23
12h,Flow_pressure_nPa,21
12h,Proton_Flux_lag_6h,20
12h,BZ_nT_GSM_lag_3h,18
12h,Proton_Flux_lag_45m,17
12h,Proton_Flux_lag_3h,16
12h,Proton_Flux,10
